name;open;high;low;close;volume;marketCap;timestamp
"2781";343.0153285879;345.6974761534;342.8414591664;342.8420730104;215050128.24;6764522661;"2024-07-10T05:00:00.000Z"
"2781";342.804255707;345.2360532876;342.2565551848;345.1974524016;213375218.93;6810999240.27;"2024-07-10T06:00:00.000Z"
"2781";345.1695865415;345.1695865415;343.1752468923;344.0916791261;212297115.71;6789187973.21;"2024-07-10T07:00:00.000Z"
"2781";344.0987071471;344.9105047868;341.8069677286;341.8069677286;210057170.21;6744118509.98;"2024-07-10T08:00:00.000Z"
"2781";341.8298508838;342.5183261264;341.2782665047;342.5183261264;211830607.92;6758158448.4;"2024-07-10T09:00:00.000Z"
"2781";342.4623975;342.6037728076;340.4910820393;341.5313275775;213401808.81;6738693789.17;"2024-07-10T10:00:00.000Z"
"2781";341.5573491251;342.3295497929;340.6160608787;340.6469065877;213819080.28;6721253016.85;"2024-07-10T11:00:00.000Z"
"2781";340.6470643614;341.1558873261;337.6860269682;338.4051125353;217308576.63;6677023687.22;"2024-07-10T12:00:00.000Z"
"2781";338.4050650385;339.7856167667;335.9230173717;336.8931811105;221119147.88;6647195139.27;"2024-07-10T13:00:00.000Z"
"2781";336.9465258532;337.9605857488;336.1966241135;336.6974270976;216838094.03;6643333794.71;"2024-07-10T14:00:00.000Z"
"2781";336.7090099195;337.6205503548;335.3945013597;336.7218282011;216860792.94;6643825772.31;"2024-07-10T15:00:00.000Z"
"2781";336.6759741565;338.0371536234;336.0964234689;337.0235131186;216335489.24;6649784607.39;"2024-07-10T16:00:00.000Z"
"2781";337.0320714467;337.0823673191;335.8585419713;336.4146051251;217976158.31;6637780804.29;"2024-07-10T17:00:00.000Z"
"2781";336.353994337;337.1643744179;336.1382711134;336.6693690545;213678284.94;6642813851.99;"2024-07-10T18:00:00.000Z"
"2781";336.683581739;336.8080449768;335.9349106573;336.1098920421;213882491.17;6631783229.54;"2024-07-10T19:00:00.000Z"
"2781";336.0976892967;338.4175525437;335.8491294935;338.3897142538;218253441.13;6676769566.88;"2024-07-10T20:00:00.000Z"
"2781";338.3905666041;340.1571823001;338.0336509883;338.0412219842;220811169.25;6669905083.9;"2024-07-10T21:00:00.000Z"
"2781";338.013956735;338.936104401;337.0148724785;338.9265860958;218767431.45;6687379534.88;"2024-07-10T22:00:00.000Z"
"2781";338.9412958841;341.5027664322;338.691816537;340.7474503255;218127618.03;6723313498.44;"2024-07-10T23:00:00.000Z"
"2781";340.7381716215;341.049250929;338.7712367364;339.4567463246;218247789.11;6697852885.8;"2024-07-11T00:00:00.000Z"
"2781";339.4524204358;344.4145333932;338.2907024345;344.2532358989;222157717.96;6792502553.39;"2024-07-11T01:00:00.000Z"
"2781";344.2074661687;345.4033482356;341.4165453712;341.964113076;223534281.78;6747342003.81;"2024-07-11T02:00:00.000Z"
"2781";341.9826095166;342.1242764321;336.686365347;338.621401479;226079090.26;6681392840.37;"2024-07-11T03:00:00.000Z"
"2781";338.6267714482;340.8376799014;338.5983806015;340.8201734166;0;0;"2024-07-11T04:00:00Z"